"order","id","type","priority","name","route","path","dimensions","reference_image","alt","locale_reuse","status","reason","prompt"
"44","recipe-miyan-kuka-ng","recipe-hero","75","Miyan Kuka","/tools/afrokitchen/recipes/miyan-kuka-ng/","/assets/img/kitchen/miyan-kuka-ng.webp","1200x800","","Miyan Kuka from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Miyan Kuka from Nigeria. Recipe brief: Northern Nigerian baobab leaf soup cooked with meat stock, dried fish, dawadawa, palm oil, chile, and fine kuka powder. Main ingredients from the saved recipe: beef or goat meat, dried fish, kuka powder, red palm oil, dawadawa or iru, ground dried pepper, water or meat stock, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"45","recipe-miyan-taushe-ng","recipe-hero","75","Miyan Taushe","/tools/afrokitchen/recipes/miyan-taushe-ng/","/assets/img/kitchen/miyan-taushe-ng.webp","1200x800","","Miyan Taushe from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Miyan Taushe from Nigeria. Recipe brief: Northern Nigerian pumpkin and groundnut soup with meat, leafy greens, tomato-pepper base, dawadawa, and warm spices. Main ingredients from the saved recipe: beef or goat meat, pumpkin or butternut squash, groundnut paste, tomatoes, red bell peppers, onion, spinach or sorrel leaves, dawadawa or iru, ground dried pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"46","recipe-mloukhia-tn","recipe-hero","75","Tunisian Mloukhia","/tools/afrokitchen/recipes/mloukhia-tn/","/assets/img/kitchen/mloukhia-tn.webp","1200x800","","Tunisian Mloukhia from Tunisia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Tunisian Mloukhia from Tunisia. Recipe brief: Tunisian slow-cooked jute leaf stew with beef, olive oil, garlic, bay, coriander, caraway, and chili. Main ingredients from the saved recipe: olive oil, mloukhia powder, beef stew meat, garlic, bay leaves, ground coriander, caraway, harissa, boiling water. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"47","recipe-moi-moi-ng","recipe-hero","75","Moi Moi","/tools/afrokitchen/recipes/moi-moi-ng/","/assets/img/kitchen/moi-moi-ng.webp","1200x800","","Moi Moi from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Moi Moi from Nigeria. Recipe brief: A steamed Nigerian bean pudding made from peeled black-eyed peas blended with peppers, onion, oil, and seasoning, then cooked until set and tender. Main ingredients from the saved recipe: peeled black-eyed peas, red bell pepper, scotch bonnet peppers, onion, vegetable oil, ground nutmeg, warm water, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"48","recipe-muriwo-unedovi-zw","recipe-hero","75","Muriwo Unedovi","/tools/afrokitchen/recipes/muriwo-unedovi-zw/","/assets/img/kitchen/muriwo-unedovi-zw.webp","1200x800","","Muriwo Unedovi from Zimbabwe","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Muriwo Unedovi from Zimbabwe. Recipe brief: Zimbabwean leafy greens cooked with tomato, onion, and peanut butter into a creamy relish. Main ingredients from the saved recipe: covo, kale, or spinach, oil, onion, tomatoes, peanut butter, warm water, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"49","recipe-mutakura-zw","recipe-hero","75","Mutakura","/tools/afrokitchen/recipes/mutakura-zw/","/assets/img/kitchen/mutakura-zw.webp","1200x800","","Mutakura from Zimbabwe","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Mutakura from Zimbabwe. Recipe brief: Zimbabwean mixed grain and legume pot with maize, cowpeas, bambara nuts, peanuts, and beans. Main ingredients from the saved recipe: dried maize or samp, cowpeas, bambara nuts or peanuts, sugar beans, water, salt, oil. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"50","recipe-ndambe-sn","recipe-hero","75","Ndambe","/tools/afrokitchen/recipes/ndambe-sn/","/assets/img/kitchen/ndambe-sn.webp","1200x800","","Ndambe from Senegal","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Ndambe from Senegal. Recipe brief: Senegalese black-eyed pea stew simmered with tomato, onion, chile, and spices, often served in bread. Main ingredients from the saved recipe: black-eyed peas, onions, tomatoes, tomato paste, scotch bonnet pepper, paprika, oil, water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"51","recipe-ndizi-nyama-tz","recipe-hero","75","Ndizi na Nyama","/tools/afrokitchen/recipes/ndizi-nyama-tz/","/assets/img/kitchen/ndizi-nyama-tz.webp","1200x800","","Ndizi na Nyama from Tanzania","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Ndizi na Nyama from Tanzania. Recipe brief: Ndizi na Nyama is a main dish with green bananas and beef, coconut milk and tomato. Serve Main ingredients from the saved recipe: green bananas and beef, oil, onion, tomatoes, coconut milk and tomato, stock or water, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"52","recipe-nsima-chambo","recipe-hero","75","Nsima with Chambo","/tools/afrokitchen/recipes/nsima-chambo/","/assets/img/kitchen/nsima-chambo.webp","1200x800","","Nsima with Chambo from Malawi","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Nsima with Chambo from Malawi. Recipe brief: Malawian nsima served with grilled chambo or tilapia, tomato-onion ndiwo, lemon, and a firm maize-meal mound. Main ingredients from the saved recipe: white maize flour, water, chambo or tilapia, lemons, garlic, vegetable oil, tomatoes, onion, salt and black pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"53","recipe-nyambeh-nyebeh-gm","recipe-hero","75","Nyambeh Nyebeh","/tools/afrokitchen/recipes/nyambeh-nyebeh-gm/","/assets/img/kitchen/nyambeh-nyebeh-gm.webp","1200x800","","Nyambeh Nyebeh from Gambia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Nyambeh Nyebeh from Gambia. Recipe brief: Gambian cassava and beans served with a spicy onion-pepper stew, often eaten for breakfast or dinner. Main ingredients from the saved recipe: cassava, black-eyed peas, oil, onions, tomato paste, tomatoes, green pepper, garlic, hot pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"54","recipe-octopus-curry-sc","recipe-hero","75","Octopus Curry","/tools/afrokitchen/recipes/octopus-curry-sc/","/assets/img/kitchen/octopus-curry-sc.webp","1200x800","","Octopus Curry from Seychelles","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Octopus Curry from Seychelles. Recipe brief: Octopus Curry is a seafood with octopus, masala and coconut milk. Serve Main ingredients from the saved recipe: octopus, oil, onion, garlic, masala and coconut milk, coconut milk, stock, or tomato sauce, salt and chili. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"55","recipe-ofe-nsala-ng","recipe-hero","75","Ofe Nsala","/tools/afrokitchen/recipes/ofe-nsala-ng/","/assets/img/kitchen/ofe-nsala-ng.webp","1200x800","","Ofe Nsala from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Ofe Nsala from Nigeria. Recipe brief: Igbo white soup made without palm oil, thickened with yam and cooked with catfish, crayfish, uziza, and utazi. Main ingredients from the saved recipe: catfish, white yam, ground crayfish, ground uziza seeds, utazi leaves, scotch bonnet peppers, water or light fish stock, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"56","recipe-oha-soup-ng","recipe-hero","75","Oha Soup","/tools/afrokitchen/recipes/oha-soup-ng/","/assets/img/kitchen/oha-soup-ng.webp","1200x800","","Oha Soup from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Oha Soup from Nigeria. Recipe brief: Igbo oha leaf soup cooked with cocoyam thickener, palm oil, meat, dried fish, crayfish, and ogiri. Main ingredients from the saved recipe: assorted meat, dried fish, cocoyam, oha leaves, red palm oil, ground crayfish, scotch bonnet peppers, meat stock, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"57","recipe-ojja-tn","recipe-hero","75","Ojja with Merguez","/tools/afrokitchen/recipes/ojja-tn/","/assets/img/kitchen/ojja-tn.webp","1200x800","","Ojja with Merguez from Tunisia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Ojja with Merguez from Tunisia. Recipe brief: Tunisian ojja with merguez, eggs poached in a fiery tomato, pepper, harissa, garlic, caraway, and coriander sauce. Main ingredients from the saved recipe: merguez sausages, eggs, chopped tomatoes, green or red pepper, garlic, harissa paste, ground caraway, olive oil, salt and black pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"58","recipe-okpa-ng","recipe-hero","75","Okpa","/tools/afrokitchen/recipes/okpa-ng/","/assets/img/kitchen/okpa-ng.webp","1200x800","","Okpa from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Okpa from Nigeria. Recipe brief: Eastern Nigerian Bambara nut pudding steamed with palm oil, pepper, onion, and salt until firm and tender. Main ingredients from the saved recipe: okpa flour, red palm oil, ground pepper, warm water, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"59","recipe-oleleh-sl","recipe-hero","75","Oleleh","/tools/afrokitchen/recipes/oleleh-sl/","/assets/img/kitchen/oleleh-sl.webp","1200x800","","Oleleh from Sierra Leone","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Oleleh from Sierra Leone. Recipe brief: Oleleh is a snack with black-eyed pea paste, palm oil and onion. Serve Main ingredients from the saved recipe: black-eyed pea paste, egg or flax slurry, palm oil and onion, salt, water, oil. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"60","recipe-omagungu-na","recipe-hero","75","Omagungu","/tools/afrokitchen/recipes/omagungu-na/","/assets/img/kitchen/omagungu-na.webp","1200x800","","Omagungu from Namibia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Omagungu from Namibia. Recipe brief: Namibian mopane worms cooked with tomato, onion, chili, and oil into a protein-rich relish. Main ingredients from the saved recipe: dried omagungu or mopane worms, water, oil, onion, tomatoes, hot pepper, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"61","recipe-omajowa-na","recipe-hero","75","Omajowa Mushrooms","/tools/afrokitchen/recipes/omajowa-na/","/assets/img/kitchen/omajowa-na.webp","1200x800","","Omajowa Mushrooms from Namibia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Omajowa Mushrooms from Namibia. Recipe brief: Namibian termite-hill mushrooms pan-cooked with onion, butter or oil, garlic, and herbs. Main ingredients from the saved recipe: omajowa or large mushrooms, butter or oil, onion, garlic, parsley, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"62","recipe-omo-tuo-gh","recipe-hero","75","Omo Tuo","/tools/afrokitchen/recipes/omo-tuo-gh/","/assets/img/kitchen/omo-tuo-gh.webp","1200x800","","Omo Tuo from Ghana","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Omo Tuo from Ghana. Recipe brief: Ghanaian rice balls cooked very soft, beaten smooth, and served with groundnut soup or palm nut soup. Main ingredients from the saved recipe: short-grain or broken rice, water, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"63","recipe-oshikundu-na","recipe-hero","75","Oshikundu","/tools/afrokitchen/recipes/oshikundu-na/","/assets/img/kitchen/oshikundu-na.webp","1200x800","","Oshikundu from Namibia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Oshikundu from Namibia. Recipe brief: Namibian fermented millet drink made with mahangu meal, malted sorghum or millet, water, and sugar. Main ingredients from the saved recipe: mahangu or millet meal, water, malted sorghum or millet flour, previous oshikundu or fermented grain drink, sugar. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"64","recipe-pepper-soup-ng","recipe-hero","75","Nigerian Pepper Soup","/tools/afrokitchen/recipes/pepper-soup-ng/","/assets/img/kitchen/pepper-soup-ng.webp","1200x800","","Nigerian Pepper Soup from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Nigerian Pepper Soup from Nigeria. Recipe brief: A hot, aromatic Nigerian broth made with goat, chicken, fish, or assorted meat, pepper soup spice, chile, onion, and scent leaves. Main ingredients from the saved recipe: goat meat or chicken, onions, water, pepper soup spice or ground ehu, scotch bonnet pepper, scent leaves or uziza, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"65","recipe-piri-piri-chicken","recipe-hero","75","Piri Piri Chicken","/tools/afrokitchen/recipes/piri-piri-chicken/","/assets/img/kitchen/piri-piri-chicken.webp","1200x800","","Piri Piri Chicken from Mozambique","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Piri Piri Chicken from Mozambique. Recipe brief: Mozambican piri piri chicken, spatchcocked and grilled with African bird's-eye chile, garlic, lemon, vinegar, paprika, and oil. Main ingredients from the saved recipe: whole chicken, piri piri chilies, garlic, lemons, paprika, oregano, olive oil, red wine vinegar, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"66","recipe-ponche-coco-st","recipe-hero","75","Ponche de Coco","/tools/afrokitchen/recipes/ponche-coco-st/","/assets/img/kitchen/ponche-coco-st.webp","1200x800","","Ponche de Coco from São Tomé and Príncipe","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Ponche de Coco from São Tomé and Príncipe. Recipe brief: Ponche de Coco is a drink with coconut milk, lime, vanilla, and sugar. Serve Main ingredients from the saved recipe: coconut milk, water, fresh ginger, cloves or grains of spice, sugar or honey, lime or lemon. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"67","recipe-potbrood-za","recipe-hero","75","Potbrood","/tools/afrokitchen/recipes/potbrood-za/","/assets/img/kitchen/potbrood-za.webp","1200x800","","Potbrood from South Africa","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Potbrood from South Africa. Recipe brief: South African pot bread baked in a cast-iron pot until crusty outside and soft within. Main ingredients from the saved recipe: bread flour, instant yeast, sugar, salt, warm water, oil, oil. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"68","recipe-puff-puff-ng","recipe-hero","75","Puff Puff","/tools/afrokitchen/recipes/puff-puff-ng/","/assets/img/kitchen/puff-puff-ng.webp","1200x800","","Puff Puff from Nigeria","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Puff Puff from Nigeria. Recipe brief: Soft Nigerian fried dough balls made from yeasted flour batter, lightly sweetened and fried until golden. Main ingredients from the saved recipe: plain flour, sugar, active dry yeast, salt, warm water, vegetable oil. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"69","recipe-saka-saka-poisson-cg","recipe-hero","75","Saka-Saka au Poisson Fumé","/tools/afrokitchen/recipes/saka-saka-poisson-cg/","/assets/img/kitchen/saka-saka-poisson-cg.webp","1200x800","","Saka-Saka au Poisson Fumé from Republic of Congo","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Saka-Saka au Poisson Fumé from Republic of Congo. Recipe brief: Congolese saka-saka with smoked fish, pounded cassava leaves, palm oil, peanut butter, onion, garlic, and chile. Main ingredients from the saved recipe: pounded cassava leaves, smoked fish or smoked cod, onion, garlic, red palm oil, peanut butter or crushed peanuts, water or fish stock, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"70","recipe-sambusa-so","recipe-hero","75","Somali Sambusa","/tools/afrokitchen/recipes/sambusa-so/","/assets/img/kitchen/sambusa-so.webp","1200x800","","Somali Sambusa from Somalia","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Somali Sambusa from Somalia. Recipe brief: Crisp Somali fried pastries filled with spiced beef, onion, garlic, cilantro, chile, and xawaash. Main ingredients from the saved recipe: ground beef or lamb, onion, garlic, green chile, xawaash spice, ground cumin, cilantro, sambusa or spring roll wrappers, flour. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"71","recipe-sardine-kefta-tagine-ma","recipe-hero","75","Sardine Kefta Tagine","/tools/afrokitchen/recipes/sardine-kefta-tagine-ma/","/assets/img/kitchen/sardine-kefta-tagine-ma.webp","1200x800","","Sardine Kefta Tagine from Morocco","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Sardine Kefta Tagine from Morocco. Recipe brief: Moroccan sardine meatballs simmered in tomato, chermoula, olives, lemon, and peppers. Main ingredients from the saved recipe: fresh sardine fillets, cilantro and parsley, garlic, cumin, paprika, lemon juice, grated tomatoes, olive oil, green pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"72","recipe-satini-reken-sc","recipe-hero","75","Satini Reken","/tools/afrokitchen/recipes/satini-reken-sc/","/assets/img/kitchen/satini-reken-sc.webp","1200x800","","Satini Reken from Seychelles","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Satini Reken from Seychelles. Recipe brief: Satini Reken is a salad with shark or smoked fish, lime, chili, and onion. Serve Main ingredients from the saved recipe: shark or smoked fish, onion, tomatoes, oil, lemon or vinegar, lime, chili, and onion. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"73","recipe-seffa-medfouna-ma","recipe-hero","75","Seffa Medfouna","/tools/afrokitchen/recipes/seffa-medfouna-ma/","/assets/img/kitchen/seffa-medfouna-ma.webp","1200x800","","Seffa Medfouna from Morocco","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Seffa Medfouna from Morocco. Recipe brief: Moroccan sweet-savory vermicelli or couscous mound hiding spiced chicken and finished with almonds, cinnamon, and powdered sugar. Main ingredients from the saved recipe: chicken pieces, onions, ground ginger, cinnamon, turmeric, broken vermicelli, butter, toasted almonds, powdered sugar. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"74","recipe-shaiyah-sd","recipe-hero","75","Shaiyah","/tools/afrokitchen/recipes/shaiyah-sd/","/assets/img/kitchen/shaiyah-sd.webp","1200x800","","Shaiyah from Sudan","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Shaiyah from Sudan. Recipe brief: Sudanese fried lamb or beef cooked with onion, garlic, tomato, cumin, coriander, and lemon. Main ingredients from the saved recipe: lamb or beef, oil, onions, garlic, tomatoes, ground coriander, cumin, black pepper, lemon. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"75","recipe-shark-chutney","recipe-hero","75","Shark Chutney","/tools/afrokitchen/recipes/shark-chutney/","/assets/img/kitchen/shark-chutney.webp","1200x800","","Shark Chutney from Seychelles","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of Shark Chutney from Seychelles. Recipe brief: Seychellois shark chutney, or satini reken, made with boiled flaked shark, bilimbi, lime, onion, ginger, garlic, turmeric, and chile. Main ingredients from the saved recipe: shark fillet or firm white fish, limes, onion, garlic, ginger, turmeric, vegetable oil, salt. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
"76","recipe-shorba-south-sudan-ss","recipe-hero","75","South Sudanese Shorba","/tools/afrokitchen/recipes/shorba-south-sudan-ss/","/assets/img/kitchen/shorba-south-sudan-ss.webp","1200x800","","South Sudanese Shorba from South Sudan","true","pending","Recipe has no local hero in any supported extension.","Create one realistic editorial food photograph of South Sudanese Shorba from South Sudan. Recipe brief: South Sudanese Shorba is a soup with goat or beef, tomato and cumin. Serve Main ingredients from the saved recipe: goat or beef, oil, onion, tomatoes, stock or water, tomato and cumin, salt and pepper. Show the finished dish with the correct texture, cooking method and serving form. Natural window light, simple neutral table, realistic food colour, an appetising three-quarter view, entire main plate inside the central 80% for card cropping. Landscape 1200x800. No words, labels, lettering, flags, logos, watermarks, collage or UI. Do not replace the dish with a generic stew or invent decorative ingredients.  Deliver WebP under the exact destination filename."
